ModelNumber,Name,Category,Colors,Status
"1106798","CLIMATWEED JACKET WOMEN'S","THERMAL","BGN;IV;PU","No mapping"
"1106799","CLIMATWEED SHIRT MEN'S","THERMAL","DGN;GY;RD","No mapping"
"1106800","CLIMATWEED SHIRT WOMEN'S","THERMAL","BGN;IV;PU","No mapping"
"1106803","LIGHT SHELL HOODED JACKET KID'S","KIDS & BABY","BGN;BK;LGY;LV;RD","No mapping"
"1106804","LIGHT SHELL HOODED JACKET KID'S","KIDS & BABY","BGN;GN;LGN;LV;YL","No mapping"
"1106806","LIGHT SHELL JACKET KID'S","KIDS & BABY","BK;BL;LGY;LV","No mapping"
"1106807","LIGHT SHELL JACKET KID'S","KIDS & BABY","BL;LGN;LV;YL","No mapping"
"1107170","SUPER MERINO WOOL EXPEDITION ROUND NECK SHIRT WOMEN'S","BASE LAYER","BK;GY;WRD","No mapping"
"1107177","WICKRON LIGHT TRUNKS","BASE LAYER","BASM;IND;NV","No mapping"
"1107294","JACQUARD TIGHTS WOMEN'S","SUPPORTER & WARMER","DGY;HGY;KH;NV","No mapping"
"1107581","SUPER MERINO WOOL EXPEDITION ROUND NECK SHIRT MEN'S","BASE LAYER","BK;GY;NV","No mapping"
"1107583","SUPER MERINO WOOL EXPEDITION HIGH NECK SHIRT MEN'S","BASE LAYER","BK;GY","No mapping"
"1107584","SUPER MERINO WOOL EXPEDITION HIGH NECK SHIRT WOMEN'S","BASE LAYER","BK;WRD","No mapping"
"1107585","SUPER MERINO WOOL EXPEDITION TIGHTS MEN'S","BASE LAYER","BK","No mapping"
"1107586","SUPER MERINO WOOL EXPEDITION TIGHTS WOMEN'S","BASE LAYER","BK","No mapping"
"1107654","SUPER MERINO WOOL MIDDLE WEIGHT ROUND NECK SHIRT MEN'S","BASE LAYER","BK;DKNV;LTSV","No mapping"
"1107656","SUPER MERINO WOOL MIDDLE WEIGHT HIGH NECK SHIRT MEN'S","BASE LAYER","BK;DKNV","No mapping"
"1107657","SUPER MERINO WOOL MIDDLE WEIGHT HIGH NECK SHIRT WOMEN'S","BASE LAYER","BK","No mapping"
"1107659","SUPER MERINO WOOL MIDDLE WEIGHT TIGHTS MEN'S","BASE LAYER","BK;DKNV","No mapping"
"1107660","SUPER MERINO WOOL MIDDLE WEIGHT TIGHTS WOMEN'S","BASE LAYER","BK","No mapping"
"1107672","SUPER MERINO WOOL LIGHT WEIGHT SHORTS WOMEN'S","BASE LAYER","BK;LBL","No mapping"
"1107673","SUPER MERINO WOOL LIGHT WEIGHT ACTIVE SHORTS WOMEN'S","BASE LAYER","BK;LBL","No mapping"
"1107704","ZEO-LINE MIDDLE WEIGHT ROUND NECK SHIRT MEN'S","BASE LAYER","BK;DGN;LGY;NV","No mapping"
"1107706","ZEO-LINE MIDDLE WEIGHT HIGH NECK SHIRT MEN'S","BASE LAYER","BK;LGY;NV","No mapping"
"1107707","ZEO-LINE MIDDLE WEIGHT HIGH NECK SHIRT WOMEN'S","BASE LAYER","BK","No mapping"
